Name,MIN,MIN Per Game,Point,Rebound,Assist,Steal,FG%,3P%,FT%,Age,Pos
Anthony Tolliver,1433,18.85526316,482,236,59,24,41,36.6,78.3,,
Archie Goodwin,535,13.04878049,231,74,44,18,39.3,29.3,73.5,21,SG
Arinze Onuaku,68,11.33333333,27,21,4,1,85.7,0,37.5,28,C
Aron Baynes,1122,16.02857143,461,318,35,16,56.6,25,86.5,29,C
Arron Afflalo,2502,32.07692308,1035,247,129,41,42.4,35.4,84.3,30,SG
Austin Daye,344,10.11764706,129,75,17,12,35.5,33.8,83.3,27,SF
Austin Rivers,1563,20.56578947,530,152,155,48,40.9,29.8,67.5,23,SG
Avery Bradley,2428,31.53246753,1071,241,135,82,42.8,35.2,79,25,SG
Ben Gordon,790,14.10714286,349,63,50,14,43.7,36.1,83.6,32,SG
Ben McLemore,2670,32.56097561,996,241,140,77,43.7,35.8,81.3,22,SG
Beno Udrih,1494,18.91139241,605,143,220,46,48.7,26.8,85.3,,
Bernard James,158,9.875,44,39,4,2,44.4,0,87,30,C
Bismack Biyombo,1243,19.421875,304,407,16,18,54.3,0,58.3,23,C
Blake Griffin,2356,35.1641791,1469,508,354,63,50.2,40,72.8,26,PF
Bojan Bogdanovic,1854,23.76923077,700,213,68,34,45.3,35.5,82.1,26,SF
Boris Diaw,1984,24.49382716,708,348,233,36,46,32,77.4,33,PF
Bradley Beal,2107,33.44444444,962,241,194,76,42.7,40.9,78.3,22,SG
Brandan Wright,1449,19.32,544,321,41,50,64.2,0,69.6,,
Brandon Bass,1929,23.52439024,866,398,104,41,50.4,28.1,79,30,PF
Brandon Davies,423,15.66666667,142,83,30,18,40.1,23.5,64.9,24,PF
Brandon Jennings,1173,28.6097561,632,104,272,44,40.1,36,83.9,26,PG
Brandon Knight,2035,32.3015873,1070,244,330,90,42.2,38.9,87.4,24,SG
Brandon Rush,271,8.212121212,30,41,12,5,20.4,11.1,45.5,30,SG
Brendan Haywood,119,5.409090909,35,29,2,2,46.7,0,53.8,36,C
Brian Roberts,1330,18.47222222,480,109,162,33,38.9,32.1,89.2,30,PG
Brook Lopez,2100,29.16666667,1236,535,50,43,51.3,10,81.4,27,C
Bruno Caboclo,23,2.875,10,2,0,0,33.3,66.7,0,20,SF
Bryce Cotton,159,10.6,80,18,15,4,42,35,83.3,23,PG
C.J. Watson,1422,24.94736842,570,163,208,57,43.4,40,82.6,31,PG
Cameron Bairstow,64,3.555555556,10,8,1,2,21.4,0,80,25,PF
Carl Landry,1192,17.02857143,503,268,26,15,51.5,0,82,32,PF
